timestamp,elapsed_sec,speed_kmh,accuracy_m,provider,nearest_index,dist_to_route_m,is_off_route,off_route_count,latitude,longitude,event_type,battery_temp,ram_mb,camera_state,frame_drop,segment_index,event_count,gps_satellites,buffer_size_kb
11:52:45,1,5,32.0,gps,-1,-1.0,false,0,37.567511,126.838854,,33.9,7,RECORDING,0,0,0,-1,0
11:52:47,2,5,32.0,gps,-1,-1.0,false,0,37.567573,126.838802,,33.9,8,RECORDING,0,0,0,-1,1989
11:52:48,3,4,29.3,gps,-1,-1.0,false,0,37.567606,126.838765,,33.9,8,RECORDING,0,0,0,-1,3487
11:52:49,4,,,,,,,,,,DECELERATION,,,,,,,,
11:52:49,5,0,16.0,gps,-1,-1.0,false,0,37.567760,126.838645,,33.9,9,EVENT_SAVING,0,0,1,-1,6467
11:52:51,6,0,12.0,gps,-1,-1.0,false,0,37.567814,126.838636,,33.9,10,EVENT_SAVING,0,0,1,-1,9463
11:52:52,7,0,12.0,gps,-1,-1.0,false,0,37.567815,126.838659,,33.9,10,RECORDING,0,0,1,-1,10944
11:52:54,9,0,12.0,gps,-1,-1.0,false,0,37.567789,126.838703,,33.9,11,RECORDING,0,0,1,-1,12429
11:52:56,11,0,12.0,gps,-1,-1.0,false,0,37.567702,126.838795,,33.9,6,RECORDING,0,0,1,-1,15456
11:52:58,13,0,12.0,gps,-1,-1.0,false,0,37.567686,126.838819,,33.9,7,RECORDING,0,0,1,-1,18432
11:52:59,14,0,12.0,gps,-1,-1.0,false,0,37.567693,126.838833,,33.9,8,RECORDING,0,0,1,-1,19919
11:53:01,16,0,10.7,gps,-1,-1.0,false,0,37.567714,126.838849,,33.9,6,RECORDING,0,0,1,-1,22912
11:53:03,18,0,9.3,gps,-1,-1.0,false,0,37.567734,126.838864,,33.9,7,RECORDING,0,0,1,-1,24395
11:53:04,19,3,8.0,gps,-1,-1.0,false,0,37.567748,126.838921,,33.9,9,RECORDING,0,0,1,-1,26775
11:53:06,21,4,9.3,gps,-1,-1.0,false,0,37.567754,126.838937,,33.9,10,RECORDING,0,1,1,-1,30348
