timestamp,elapsed_sec,speed_kmh,accuracy_m,provider,nearest_index,dist_to_route_m,is_off_route,off_route_count,latitude,longitude,event_type,battery_temp,ram_mb,camera_state,frame_drop,segment_index,event_count,gps_satellites,buffer_size_kb
15:13:56,7,2,21.7,gps,-1,-1.0,false,0,37.566281,126.838134,,38.4,9,RECORDING,0,0,0,-1,10703
15:13:59,10,1,18.5,gps,-1,-1.0,false,0,37.566273,126.838144,,38.4,10,RECORDING,0,0,0,-1,15222
15:14:01,12,0,20.0,gps,-1,-1.0,false,0,37.566251,126.838132,,38.4,11,RECORDING,0,0,0,-1,18168
15:14:04,15,0,13.3,gps,-1,-1.0,false,0,37.566240,126.838126,,38.4,7,RECORDING,0,0,0,-1,21111
15:14:13,24,0,12.0,gps,-1,-1.0,false,0,37.566225,126.838097,,38.4,10,RECORDING,0,1,0,-1,35042
15:21:28,459,0,8.7,gps,-1,-1.0,false,0,37.566220,126.838078,,43.0,10,RECORDING,0,1,0,-1,80782
15:22:04,495,0,6.7,gps,-1,-1.0,false,0,37.566219,126.838059,,43.0,9,RECORDING,0,0,0,-1,74851
15:23:12,563,0,6.0,gps,-1,-1.0,false,0,37.566226,126.838039,,43.0,12,RECORDING,0,0,0,-1,85244
15:24:26,637,0,6.0,gps,-1,-1.0,false,0,37.566231,126.838033,,43.9,10,RECORDING,0,1,0,-1,76345
15:24:39,650,0,6.0,gps,-1,-1.0,false,0,37.566235,126.838041,,43.9,8,RECORDING,0,2,0,-1,65846
15:26:37,768,0,6.0,gps,-1,-1.0,false,0,37.566236,126.838049,,44.7,8,RECORDING,0,2,0,-1,61391
15:28:02,853,0,6.0,gps,-1,-1.0,false,0,37.566245,126.838048,,45.6,10,RECORDING,0,0,0,-1,67279
15:28:04,855,0,6.0,gps,-1,-1.0,false,0,37.566264,126.838040,,45.6,11,RECORDING,0,0,0,-1,70266
15:30:04,975,0,6.0,gps,-1,-1.0,false,0,37.566280,126.838032,,46.1,11,RECORDING,0,0,0,-1,68894
15:31:34,1066,0,6.0,gps,-1,-1.0,false,0,37.566278,126.838027,,46.1,11,RECORDING,0,1,0,-1,79353
15:31:35,1066,,,,,,,,,,IMPACT,,,,,,,,
15:31:35,1066,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:31:56,1087,0,6.0,gps,-1,-1.0,false,0,37.566244,126.838051,,46.3,11,RECORDING,0,1,1,-1,108236
15:32:26,1117,0,6.0,gps,-1,-1.0,false,0,37.566237,126.838062,,46.3,12,RECORDING,0,1,1,-1,151676
15:32:32,1123,0,6.0,gps,-1,-1.0,false,0,37.566237,126.838055,,46.3,14,RECORDING,0,1,1,-1,160658
15:32:44,1135,0,6.0,gps,-1,-1.0,false,0,37.566239,126.838033,,46.3,8,RECORDING,0,1,1,-1,178603
15:32:56,1147,0,6.0,gps,-1,-1.0,false,0,37.566232,126.838008,,46.3,12,RECORDING,0,1,1,-1,195148
15:33:17,1168,0,6.0,gps,-1,-1.0,false,0,37.566219,126.837991,,46.3,12,RECORDING,0,1,1,-1,226559
15:33:35,1186,0,6.0,gps,-1,-1.0,false,0,37.566206,126.837990,,46.3,11,RECORDING,0,1,1,-1,252063
15:33:53,1204,0,6.0,gps,-1,-1.0,false,0,37.566201,126.838006,,46.3,10,RECORDING,0,1,1,-1,277502
15:34:23,1234,0,6.0,gps,-1,-1.0,false,0,37.566208,126.838016,,46.3,13,RECORDING,0,1,1,-1,322458
15:39:43,1554,0,6.0,gps,-1,-1.0,false,0,37.566216,126.838010,,47.9,7,RECORDING,0,1,1,-1,785465
15:39:55,1566,0,6.0,gps,-1,-1.0,false,0,37.566224,126.838004,,47.9,11,RECORDING,0,1,1,-1,803409
15:40:01,1572,0,6.0,gps,-1,-1.0,false,0,37.566227,126.838016,,47.9,6,RECORDING,0,1,1,-1,812385
15:40:22,1593,0,6.0,gps,-1,-1.0,false,0,37.566228,126.838026,,47.9,13,RECORDING,0,1,1,-1,842378
15:40:52,1623,0,6.0,gps,-1,-1.0,false,0,37.566220,126.838032,,47.9,9,RECORDING,0,1,1,-1,885841
15:41:04,1635,0,6.0,gps,-1,-1.0,false,0,37.566209,126.838035,,48.2,13,RECORDING,0,1,1,-1,903799
15:41:43,1674,0,6.0,gps,-1,-1.0,false,0,37.566204,126.838044,,48.2,12,RECORDING,0,1,1,-1,959315
15:42:04,1695,0,6.0,gps,-1,-1.0,false,0,37.566213,126.838046,,48.2,12,RECORDING,0,1,1,-1,990712
15:42:13,1704,0,6.0,gps,-1,-1.0,false,0,37.566232,126.838039,,48.2,8,RECORDING,0,1,1,-1,1002776
15:42:33,1724,0,6.0,gps,-1,-1.0,false,0,37.566241,126.838031,,48.2,8,RECORDING,0,1,1,-1,1032670
15:42:40,1731,0,6.0,gps,-1,-1.0,false,0,37.566242,126.838017,,48.2,10,RECORDING,0,1,1,-1,1043162
15:43:15,1766,0,6.0,gps,-1,-1.0,false,0,37.566232,126.838008,,48.2,8,RECORDING,0,1,1,-1,1092687
15:43:31,1782,0,6.0,gps,-1,-1.0,false,0,37.566223,126.838012,,48.4,6,RECORDING,0,1,1,-1,1116594
15:43:46,1797,,,,,,,,,,IMPACT,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:46,1797,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:47,1798,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:47,1798,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:43:52,1803,,,,,,,,,,MANUAL_TAP,,,,,,,,
15:43:56,1807,,,,,,,,,,MANUAL_VOLUME,,,,,,,,
15:44:08,1819,,,,,,,,,,IMPACT,,,,,,,,
15:44:09,1820,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:44:09,1820,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:44:09,1820,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:44:09,1820,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:44:09,1820,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:44:09,1820,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:44:09,1820,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
15:44:09,1820,,,,,,,,,,IMPACT|EVENT_SAVE_IGNORE|ALREADY_SAVING,,,,,,,,
